gene_id,WTCMA,WTCMB,WTCMC,WTCM1,WTCM2,WTCM3,WTMA,WTMC,WTM1,WTM2,WTM3,KOCMA,KOCMB,KOCMC,KOCM1,KOCM2,KOCM3,KOMA,KOMB,KOM1,KOM2
VNG_RS00505,1286,2427,1705,378,532,722,1253,858,715,409,2714,1753,1864,4283,291,562,283,3153,915,2439,167
VNG_RS00510,384,812,604,121,167,217,466,348,220,149,894,602,531,1912,79,202,111,1324,374,812,70
VNG_RS00515,271,495,352,72,98,122,390,261,134,61,621,393,333,737,39,115,74,841,239,378,56
VNG_RS00520,1320,1650,1809,294,348,363,924,774,341,268,1674,1708,1252,2789,213,377,272,2304,746,1224,96
VNG_RS00525,4152,5589,6225,1035,1681,1861,4941,3885,2713,1468,10342,5255,4394,9609,946,1653,928,11233,4057,8304,791
VNG_RS00530,894,1590,1073,176,376,407,1053,784,565,333,1976,1087,1098,2958,211,290,163,2571,786,1628,115
VNG_RS00535,917,1830,1022,263,259,440,597,471,256,175,1389,1006,1033,2544,164,234,181,2105,526,1164,91
VNG_RS00540,23,22,23,7,10,7,17,26,5,15,33,19,11,46,6,7,6,105,19,65,5
VNG_RS00545,4625,5388,6154,883,1305,1226,4015,2702,1566,907,5609,5637,4485,10420,819,975,754,6838,2184,3769,348
VNG_RS00550,2191,2579,3055,512,746,645,1761,1233,833,388,2805,20,7,11,0,3,1,28,9,2,1
VNG_RS00555,2859,3898,4277,722,1023,1138,3200,2180,1637,780,5586,4306,3148,7052,772,1155,845,6758,1816,4868,331
VNG_RS00560,1688,3311,1593,322,535,675,1433,1051,593,372,2595,2061,2246,5542,270,445,222,3745,1026,2194,140
VNG_RS00565,15,37,25,10,17,7,30,44,4,9,126,21,11,75,11,14,13,114,92,31,6
VNG_RS00570,32,38,25,8,19,8,17,29,15,9,107,26,12,63,15,15,9,148,68,80,6
VNG_RS00575,20,37,45,4,7,3,24,27,12,1,32,23,26,84,6,9,2,65,23,22,0
VNG_RS00585,462,749,440,62,89,109,462,323,127,64,513,611,409,1179,44,95,85,890,306,361,28
VNG_RS00590,662,828,1340,141,209,220,759,684,246,187,1414,1175,770,1586,143,303,156,1813,495,919,116
VNG_RS00595,1065,1321,1391,260,375,339,662,416,287,143,1027,1605,983,2318,200,369,208,1614,379,870,74
VNG_RS00600,850,691,760,184,178,188,969,1049,363,308,3432,832,461,1391,117,249,153,5894,1808,3021,247
VNG_RS00605,797,814,854,163,160,216,776,581,213,119,1127,846,661,1721,98,132,127,1192,491,514,49
VNG_RS00610,3406,3509,3145,880,933,1528,3257,3467,1762,886,7564,2564,3955,8770,466,503,409,4084,2464,2941,166
VNG_RS00615,653,1241,698,182,291,288,354,291,247,141,839,960,939,2723,143,186,106,1299,332,758,40
VNG_RS00620,902,1290,1139,182,263,287,620,470,263,147,983,1158,989,2850,180,268,175,1766,572,813,66
VNG_RS00625,1657,2451,2450,397,550,671,1345,994,552,337,2346,2401,2002,4971,389,607,376,3149,1118,1821,213
VNG_RS00630,2029,3307,4312,466,852,866,2270,1971,924,579,3568,3439,2998,7147,441,1167,613,6387,1668,3527,315
VNG_RS00635,1031,1672,1464,192,315,396,1081,770,353,235,1499,1499,1418,3983,196,382,192,2438,833,1217,130
VNG_RS00640,337,686,430,74,123,174,652,431,331,167,1398,413,441,1133,62,92,64,1672,502,1181,70
